datetime,pm10,pm25,o3,no2,co,so2,nox,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,hour,day_of_week,month
2016-03-06 20:00:00+00:00,26.0,7.0,0.043,0.033,0.64,0.001,0.0136,14.330127018922195,60.0,0.0,7.598076211353316,20,6,3
2016-03-06 21:00:00+00:00,28.0,9.0,0.045,0.033,0.64,0.001,0.0136,13.535533905932738,60.0,1.4322106415159346,7.121320343559643,21,6,3
2016-03-07 15:00:00+00:00,30.0,6.0,0.017,0.033,0.64,0.001,0.0136,13.535533905932738,60.0,0.0,7.121320343559643,15,0,3
2016-03-07 16:00:00+00:00,19.0,3.0,0.036,0.033,0.64,0.001,0.0136,14.330127018922193,60.0,0.0,7.598076211353316,16,0,3
2016-03-10 08:00:00+00:00,19.0,3.0,0.0,0.033,0.64,0.001,0.0136,5.669872981077807,60.0,0.0,2.401923788646684,8,3,3
2016-03-10 09:00:00+00:00,37.0,15.0,0.0,0.033,0.64,0.001,0.0136,6.464466094067262,60.0,0.0,2.878679656440357,9,3,3
2016-03-11 16:00:00+00:00,35.0,18.0,0.002,0.033,0.64,0.001,0.0136,14.330127018922193,60.0,12.198449753989706,7.598076211353316,16,4,3
2016-03-11 17:00:00+00:00,37.0,17.0,0.022,0.033,0.64,0.001,0.0136,14.82962913144534,60.0,0.0,7.897777478867205,17,4,3
2016-03-11 18:00:00+00:00,40.0,16.0,0.0,0.033,0.64,0.001,0.0136,15.0,60.0,0.0,8.0,18,4,3
2016-03-11 19:00:00+00:00,40.0,11.0,0.0,0.033,0.64,0.001,0.0136,14.82962913144534,60.0,0.0,7.897777478867205,19,4,3
2016-03-11 21:00:00+00:00,18.0,3.0,0.017,0.033,0.64,0.001,0.0136,13.535533905932738,60.0,0.0,7.121320343559643,21,4,3
2016-03-11 22:00:00+00:00,16.0,3.0,0.024,0.033,0.64,0.001,0.0136,12.5,60.0,0.0,6.5,22,4,3
2016-03-11 23:00:00+00:00,22.0,6.0,0.022,0.033,0.64,0.001,0.0136,11.294095225512605,60.0,0.0,5.776457135307563,23,4,3
2016-03-12 00:00:00+00:00,12.0,4.0,0.035,0.033,0.64,0.001,0.0136,10.0,60.0,0.0,5.0,0,5,3
2016-03-12 02:00:00+00:00,11.0,1.0,0.027,0.033,0.64,0.001,0.0136,7.5,60.0,0.0,3.5,2,5,3
2016-03-12 03:00:00+00:00,23.0,9.0,0.024,0.033,0.64,0.001,0.0136,6.464466094067262,60.0,0.0,2.878679656440357,3,5,3
2016-03-12 04:00:00+00:00,20.0,11.0,0.021,0.033,0.64,0.001,0.0136,5.669872981077806,60.0,0.0,2.401923788646684,4,5,3
