datetime,pm10,co,temperature_2m,precipitation,pm10_lag_1,pm10_lag_2,pm10_lag_3,pm10_lag_6,pm10_lag_12,pm10_lag_24,pm10_rolling_mean_3,pm10_rolling_std_3,pm10_rolling_mean_6,pm10_rolling_std_6,pm10_rolling_mean_12,pm10_rolling_std_12,pm10_rolling_mean_24,pm10_rolling_std_24,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,hour_day_interaction
2016-03-12 13:00:00+00:00,20.0,0.64,11.294095225512605,0.0,20.0,18.0,23.0,16.0,22.0,26.0,19.333333333333332,1.1547005383791966,19.166666666666668,2.401388487243714,18.583333333333332,4.420167280531219,23.5,8.692825627568078,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.25232991127469384
2016-03-12 14:00:00+00:00,17.0,0.64,12.5,0.0,20.0,20.0,18.0,16.0,12.0,28.0,19.0,1.73205080756884,19.333333333333332,2.1602468994692847,19.0,3.9542842128966402,23.041666666666668,8.735132296186707,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.48746395609091153
2016-03-12 15:00:00+00:00,20.0,0.64,13.535533905932738,0.0,17.0,20.0,20.0,18.0,11.0,30.0,19.0,1.73205080756884,19.666666666666668,2.0655911179772874,19.75,3.048844788678905,22.625,8.626614530675957,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.68937813787181
2016-03-12 16:00:00+00:00,21.0,0.64,14.330127018922193,8.283188280897585,20.0,17.0,20.0,23.0,23.0,19.0,19.333333333333332,2.081665999466103,19.333333333333332,1.5055453054181585,19.583333333333332,2.906367096044419,22.708333333333332,8.599692444787053,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8443123388079834
2016-03-12 17:00:00+00:00,20.0,0.64,14.82962913144534,0.0,21.0,20.0,17.0,18.0,20.0,19.0,20.333333333333332,0.5773502691895307,19.666666666666668,1.366260102127944,19.583333333333332,2.906367096044419,22.75,8.583350921608544,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9417080491465042
2016-03-12 18:00:00+00:00,27.0,0.64,15.0,0.0,20.0,21.0,20.0,20.0,26.0,37.0,22.666666666666668,3.785938897200173,20.833333333333332,3.3115957885386123,19.666666666666668,3.113995776646087,22.333333333333332,8.090072642586025,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9749279121818236
2016-03-12 19:00:00+00:00,26.0,0.64,14.82962913144534,0.0,27.0,20.0,21.0,20.0,16.0,35.0,24.333333333333332,3.785938897200176,21.833333333333332,3.868677637987777,20.5,3.370999312316207,21.958333333333332,7.675365260628184,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.9417080491465043
2016-03-12 20:00:00+00:00,30.0,0.64,14.330127018922196,0.0,26.0,27.0,20.0,17.0,16.0,37.0,27.666666666666668,2.0816659994661335,24.0,4.242640687119291,21.666666666666668,4.030189107526374,21.666666666666668,7.197020317414377,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.8443123388079835
2016-03-12 21:00:00+00:00,25.0,0.64,13.535533905932738,0.0,30.0,26.0,27.0,20.0,18.0,40.0,27.0,2.64575131106459,24.833333333333332,3.7638632635454137,22.25,3.957156922474884,21.041666666666668,6.104019820660354,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.6893781378718106
2016-03-12 22:00:00+00:00,24.0,0.64,12.5,0.0,25.0,30.0,26.0,21.0,23.0,40.0,26.333333333333332,3.214550253664316,25.333333333333332,3.326659986633251,22.333333333333332,3.984819679582486,20.375,4.642080680414573,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,0.48746395609091225
